actual_intent,calibration_error,confidence,correct,expected_intent,latency_ms,query_id,question,reason,router_type
RAG,0.32999999999999996,0.67,True,RAG,0.24,unstr_001,FPT có chiến lược phát triển nào cho năm 2025?,Found 1 RAG keyword(s),rule_router
RAG,0.22999999999999998,0.77,True,RAG,0.08,unstr_002,Chính sách bán hàng của Vinamilk là gì?,Found 2 RAG keyword(s),rule_router
RAG,0.15000000000000002,0.85,True,RAG,0.06,unstr_003,Masan mô tả quy trình sản xuất như thế nào?,Found 3 RAG keyword(s),rule_router
RAG,0.25,0.75,True,RAG,0.05,unstr_004,Mục tiêu tăng trưởng của FPT là gì?,Found 2 RAG keyword(s),rule_router
RAG,0.13,0.87,True,RAG,0.05,unstr_005,Vinamilk giải thích rủi ro kinh doanh như thế nào?,Found 3 RAG keyword(s),rule_router
RAG,0.35,0.65,True,RAG,0.04,unstr_006,Cấu trúc tổ chức của Masan là gì?,Found 1 RAG keyword(s),rule_router
RAG,0.35,0.65,True,RAG,0.04,unstr_007,FPT có những hướng dẫn gì cho nhân viên?,Found 1 RAG keyword(s),rule_router
RAG,0.35,0.65,True,RAG,0.05,unstr_008,Chương trình phát triển bền vững của Vinamilk là gì?,Found 1 RAG keyword(s),rule_router
RAG,0.25,0.75,True,RAG,0.05,unstr_009,Masan mô tả các thách thức trong ngành như thế nào?,Found 2 RAG keyword(s),rule_router
RAG,0.25,0.75,True,RAG,0.04,unstr_010,Quy trình quản lý chất lượng của FPT là gì?,Found 2 RAG keyword(s),rule_router
RAG,0.35,0.65,True,RAG,0.04,unstr_011,Vinamilk có kế hoạch mở rộng thị trường nào?,Found 1 RAG keyword(s),rule_router
RAG,0.32999999999999996,0.67,True,RAG,0.04,unstr_012,Masan nói gì về chiến lược tăng trưởng dài hạn?,Found 1 RAG keyword(s),rule_router
RAG,0.25,0.75,True,RAG,0.04,unstr_013,FPT mô tả định hướng AI như thế nào?,Found 2 RAG keyword(s),rule_router
RAG,0.32999999999999996,0.67,True,RAG,0.04,unstr_014,Vinamilk có chính sách ESG nào nổi bật?,Found 1 RAG keyword(s),rule_router
RAG,0.22999999999999998,0.77,True,RAG,0.04,unstr_015,Masan trình bày rủi ro chuỗi cung ứng ra sao?,Found 2 RAG keyword(s),rule_router
RAG,0.15000000000000002,0.85,True,RAG,0.04,unstr_016,Tài liệu nói gì về kế hoạch chuyển đổi số của FPT?,Found 3 RAG keyword(s),rule_router
RAG,0.25,0.75,True,RAG,0.04,unstr_017,Báo cáo Vinamilk nêu mục tiêu phát triển nhân sự thế nào?,Found 2 RAG keyword(s),rule_router
RAG,0.15000000000000002,0.85,True,RAG,0.05,unstr_018,Masan giải thích lợi thế cạnh tranh của mình như thế nào?,Found 3 RAG keyword(s),rule_router
RAG,0.22999999999999998,0.77,True,RAG,0.04,unstr_019,FPT mô tả chiến lược thị trường quốc tế ra sao?,Found 2 RAG keyword(s),rule_router
RAG,0.35,0.65,True,RAG,0.04,unstr_020,Vinamilk đánh giá xu hướng ngành như thế nào?,Found 1 RAG keyword(s),rule_router
RAG,0.22999999999999998,0.77,True,RAG,0.04,rag_adv_021,"Trong PDF, phần strategy của FPT cho 2025 viết gì?",Found 2 RAG keyword(s),rule_router
RAG,0.35,0.65,True,RAG,0.04,rag_adv_022,Nếu chỉ đọc báo cáo thì Vinamilk đang theo định hướng nào?,Found 1 RAG keyword(s),rule_router
RAG,0.32999999999999996,0.67,True,RAG,0.04,rag_adv_023,Masan nêu ra những policy nào quan trọng?,Found 1 RAG keyword(s),rule_router
RAG,0.25,0.75,True,RAG,0.04,rag_adv_024,Tài liệu của FPT nói gì về plan tăng trưởng?,Found 2 RAG keyword(s),rule_router
RAG,0.050000000000000044,0.95,True,RAG,0.04,rag_adv_025,Báo cáo annual report của Vinamilk mô tả risk ra sao?,Found 4 RAG keyword(s),rule_router
RAG,0.13,0.87,True,RAG,0.04,rag_adv_026,"Chỉ dựa trên tài liệu, chiến lược của Masan là gì?",Found 3 RAG keyword(s),rule_router
RAG,0.22999999999999998,0.77,True,RAG,0.04,rag_adv_027,FPT có hướng dẫn hay chính sách nào cho nhân viên mới?,Found 2 RAG keyword(s),rule_router
RAG,0.25,0.75,True,RAG,0.04,rag_adv_028,Masan có mô tả operating model như thế nào không?,Found 2 RAG keyword(s),rule_router
RAG,0.55,0.45,True,RAG,0.04,rag_adv_029,Vinamilk nói gì về sustainability roadmap?,No keywords matched; defaulting to RAG (safe fallback),rule_router
RAG,0.25,0.75,True,RAG,0.04,rag_adv_030,"Trong tài liệu, FPT đánh giá cơ hội thị trường AI thế nào?",Found 2 RAG keyword(s),rule_router
RAG,0.25,0.75,True,RAG,0.04,rag_adv_031,Báo cáo của Masan có giải thích business challenge không?,Found 2 RAG keyword(s),rule_router
