actual_intent,calibration_error,confidence,correct,expected_intent,latency_ms,query_id,question,reason,router_type
RAG,0.32999999999999996,0.67,True,RAG,0.2,unstr_001,FPT có chiến lược phát triển nào cho năm 2025?,Found 1 RAG keyword(s),rule_router
RAG,0.22999999999999998,0.77,True,RAG,0.1,unstr_002,Chính sách bán hàng của Vinamilk là gì?,Found 2 RAG keyword(s),rule_router
RAG,0.15000000000000002,0.85,True,RAG,0.08,unstr_003,Masan mô tả quy trình sản xuất như thế nào?,Found 3 RAG keyword(s),rule_router
RAG,0.25,0.75,True,RAG,0.06,unstr_004,Mục tiêu tăng trưởng của FPT là gì?,Found 2 RAG keyword(s),rule_router
RAG,0.13,0.87,True,RAG,0.07,unstr_005,Vinamilk giải thích rủi ro kinh doanh như thế nào?,Found 3 RAG keyword(s),rule_router
RAG,0.35,0.65,True,RAG,0.06,unstr_006,Cấu trúc tổ chức của Masan là gì?,Found 1 RAG keyword(s),rule_router
RAG,0.35,0.65,True,RAG,0.06,unstr_007,FPT có những hướng dẫn gì cho nhân viên?,Found 1 RAG keyword(s),rule_router
RAG,0.35,0.65,True,RAG,0.08,unstr_008,Chương trình phát triển bền vững của Vinamilk là gì?,Found 1 RAG keyword(s),rule_router
RAG,0.25,0.75,True,RAG,0.07,unstr_009,Masan mô tả các thách thức trong ngành như thế nào?,Found 2 RAG keyword(s),rule_router
RAG,0.25,0.75,True,RAG,0.06,unstr_010,Quy trình quản lý chất lượng của FPT là gì?,Found 2 RAG keyword(s),rule_router
RAG,0.35,0.65,True,RAG,0.06,unstr_011,Vinamilk có kế hoạch mở rộng thị trường nào?,Found 1 RAG keyword(s),rule_router
RAG,0.35,0.65,True,RAG,0.07,unstr_012,Masan giải thích vai trò của công nghệ trong kinh doanh ra sao?,Found 1 RAG keyword(s),rule_router
RAG,0.13,0.87,True,RAG,0.06,unstr_013,FPT mô tả chiến lược marketing như thế nào?,Found 3 RAG keyword(s),rule_router
RAG,0.22999999999999998,0.77,True,RAG,0.06,unstr_014,Chính sách đối với cổ đông của Vinamilk là gì?,Found 2 RAG keyword(s),rule_router
RAG,0.35,0.65,True,RAG,0.06,unstr_015,Masan có những mục tiêu ESG nào?,Found 1 RAG keyword(s),rule_router
RAG,0.25,0.75,True,RAG,0.06,unstr_016,FPT là gì? Hãy giải thích về công ty.,Found 2 RAG keyword(s),rule_router
RAG,0.55,0.45,True,RAG,0.06,unstr_017,Vinamilk hoạt động trong những lĩnh vực nào?,No keywords matched; defaulting to RAG (safe fallback),rule_router
RAG,0.35,0.65,True,RAG,0.06,unstr_018,Masan có những sản phẩm chính nào?,Found 1 RAG keyword(s),rule_router
RAG,0.25,0.75,True,RAG,0.06,unstr_019,FPT mô tả lợi thế cạnh tranh của mình ra sao?,Found 2 RAG keyword(s),rule_router
RAG,0.35,0.65,True,RAG,0.06,unstr_020,Vinamilk có kế hoạch gì cho tương lai?,Found 1 RAG keyword(s),rule_router
SQL,0.35,0.65,True,SQL,0.06,str_001,Có bao nhiêu sản phẩm trong hệ thống Northwind?,Found 1 SQL keyword(s),rule_router
SQL,0.125,0.875,True,SQL,0.1,str_002,Top 5 khách hàng có tổng đơn hàng nhiều nhất là ai?,Found 3 SQL keyword(s),rule_router
SQL,0.15000000000000002,0.85,True,SQL,0.07,str_003,Doanh thu trung bình mỗi đơn hàng là bao nhiêu?,Found 3 SQL keyword(s),rule_router
SQL,0.18999999999999995,0.81,True,SQL,0.06,str_004,Liệt kê tên nhân viên và số đơn hàng họ xử lý?,Found 2 SQL keyword(s),rule_router
SQL,0.25,0.75,True,SQL,0.06,str_005,Sản phẩm nào có đơn giá cao nhất?,Found 2 SQL keyword(s),rule_router
SQL,0.15000000000000002,0.85,True,SQL,0.07,str_006,Xếp hạng các danh mục sản phẩm theo số lượng sản phẩm?,Found 3 SQL keyword(s),rule_router
SQL,0.35,0.65,True,SQL,0.05,str_007,Có bao nhiêu nhân viên trong công ty?,Found 1 SQL keyword(s),rule_router
SQL,0.25,0.75,True,SQL,0.06,str_008,Tổng số đơn hàng là bao nhiêu?,Found 2 SQL keyword(s),rule_router
SQL,0.25,0.75,True,SQL,0.06,str_009,Chi phí vận chuyển trung bình là bao nhiêu?,Found 2 SQL keyword(s),rule_router
SQL,0.35,0.65,True,SQL,0.06,str_010,Nhà cung cấp nào cung cấp nhiều sản phẩm nhất?,Found 1 SQL keyword(s),rule_router
SQL,0.25,0.75,True,SQL,0.06,str_011,Đơn hàng nào có giá trị cao nhất?,Found 2 SQL keyword(s),rule_router
SQL,0.35,0.65,True,SQL,0.06,str_012,Có bao nhiêu khách hàng trong cơ sở dữ liệu?,Found 1 SQL keyword(s),rule_router
SQL,0.25,0.75,True,SQL,0.06,str_013,Lọc sản phẩm có đơn giá trong khoảng 20-30?,Found 2 SQL keyword(s),rule_router
SQL,0.35,0.65,True,SQL,0.06,str_014,Sắp xếp khách hàng theo tên thành phố?,Found 1 SQL keyword(s),rule_router
SQL,0.35,0.65,True,SQL,0.06,str_015,Số sản phẩm bị hết hàng là bao nhiêu?,Found 1 SQL keyword(s),rule_router
SQL,0.25,0.75,True,SQL,0.06,str_016,Tính tổng số lượng sản phẩm có sẵn?,Found 2 SQL keyword(s),rule_router
SQL,0.15000000000000002,0.85,True,SQL,0.07,str_017,Chi tiêu nhiều nhất của khách hàng là bao nhiêu?,Found 3 SQL keyword(s),rule_router
SQL,0.25,0.75,True,SQL,0.06,str_018,Liệt kê các đơn hàng theo tháng?,Found 2 SQL keyword(s),rule_router
SQL,0.25,0.75,True,SQL,0.07,str_019,Xếp hạng nhân viên theo số đơn hàng xử lý từ cao đến thấp?,Found 2 SQL keyword(s),rule_router
SQL,0.35,0.65,True,SQL,0.06,str_020,Sản phẩm nào có mức giá thấp nhất?,Found 1 SQL keyword(s),rule_router
HYBRID,0.050000000000000044,0.95,True,HYBRID,0.08,hyb_001,FPT có chiến lược tăng doanh thu nào và tổng số đơn hàng hiện tại trong Northwind là bao nhiêu?,Both document and structured-data signals detected.,adaptive_rule
HYBRID,0.050000000000000044,0.95,True,HYBRID,0.09,hyb_002,Mục tiêu phát triển của Vinamilk là gì và hiện có bao nhiêu sản phẩm trong database?,Both document and structured-data signals detected.,adaptive_rule
HYBRID,0.17000000000000004,0.83,True,HYBRID,0.07,hyb_003,Chính sách bán hàng của Masan ra sao và top 3 khách hàng theo đơn hàng là ai?,Both document and structured-data signals detected.,adaptive_rule
HYBRID,0.050000000000000044,0.95,True,HYBRID,0.07,hyb_004,Quy trình sản xuất FPT được mô tả như thế nào và có bao nhiêu nhân viên đang làm việc?,Found mixed SQL (1) and RAG (3) signals,rule_router
HYBRID,0.050000000000000044,0.95,True,HYBRID,0.07,hyb_005,Vinamilk mô tả lợi thế cạnh tranh thế nào và danh mục nào có nhiều sản phẩm nhất?,Found mixed SQL (1) and RAG (2) signals,rule_router
HYBRID,0.17000000000000004,0.83,True,HYBRID,0.07,hyb_006,Rủi ro kinh doanh của Masan là gì và chi phí vận chuyển trung bình là bao nhiêu?,Both document and structured-data signals detected.,adaptive_rule
HYBRID,0.17000000000000004,0.83,True,HYBRID,0.07,hyb_007,Kế hoạch tăng trưởng của FPT là gì và nhân viên nào xử lý nhiều đơn hàng nhất?,Found mixed SQL (2) and RAG (2) signals,rule_router
HYBRID,0.050000000000000044,0.95,True,HYBRID,0.07,hyb_008,Vinamilk có mục tiêu bền vững như thế nào và có bao nhiêu khách hàng hiện tại?,Both document and structured-data signals detected.,adaptive_rule
HYBRID,0.17000000000000004,0.83,True,HYBRID,0.07,hyb_009,Masan giải thích thách thức ngành ra sao và sản phẩm nào có giá cao nhất?,Found mixed SQL (1) and RAG (1) signals,rule_router
HYBRID,0.050000000000000044,0.95,True,HYBRID,0.16,hyb_010,Hướng dẫn chất lượng của FPT là gì và có bao nhiêu sản phẩm bị hết hàng?,Found mixed SQL (1) and RAG (2) signals,rule_router
HYBRID,0.050000000000000044,0.95,True,HYBRID,0.07,hyb_011,Chiến lược marketing của Vinamilk ra sao và nhà cung cấp nào cung cấp nhiều nhất?,Found mixed SQL (2) and RAG (1) signals,rule_router
HYBRID,0.050000000000000044,0.95,True,HYBRID,0.07,hyb_012,Chính sách cổ đông của Masan như thế nào và đơn hàng có giá trị cao nhất là bao nhiêu?,Both document and structured-data signals detected.,adaptive_rule
HYBRID,0.050000000000000044,0.95,True,HYBRID,0.07,hyb_013,FPT mô tả vai trò công nghệ ra sao và tổng số lượng sản phẩm có sẵn là bao nhiêu?,Found mixed SQL (3) and RAG (1) signals,rule_router
HYBRID,0.050000000000000044,0.95,True,HYBRID,0.07,hyb_014,Mục tiêu ESG của Vinamilk là gì và có bao nhiêu khách hàng ở thành phố London?,Both document and structured-data signals detected.,adaptive_rule
HYBRID,0.050000000000000044,0.95,True,HYBRID,0.08,hyb_015,Quy trình quản lý chất lượng Masan được mô tả như thế nào và xếp hạng danh mục sản phẩm ra sao?,Found mixed SQL (2) and RAG (3) signals,rule_router
HYBRID,0.050000000000000044,0.95,True,HYBRID,0.07,hyb_016,Lợi thế cạnh tranh của FPT là gì và doanh thu trung bình mỗi đơn hàng là bao nhiêu?,Both document and structured-data signals detected.,adaptive_rule
HYBRID,0.17000000000000004,0.83,True,HYBRID,0.08,hyb_017,Chính sách phát triển nhân sự của Vinamilk ra sao và nhân viên nào kinh doanh giỏi nhất?,Found mixed SQL (1) and RAG (1) signals,rule_router
HYBRID,0.17000000000000004,0.83,True,HYBRID,0.07,hyb_018,Masan có những sản phẩm chính nào và danh mục nào có ít sản phẩm nhất?,Found mixed SQL (1) and RAG (1) signals,rule_router
HYBRID,0.050000000000000044,0.95,True,HYBRID,0.07,hyb_019,Kế hoạch mở rộng thị trường của FPT là gì và tính toàn bộ chi phí vận chuyển?,Found mixed SQL (1) and RAG (2) signals,rule_router
HYBRID,0.050000000000000044,0.95,True,HYBRID,0.07,hyb_020,Triển vọng tương lai của Vinamilk được mô tả ra sao và khách hàng nào chi tiêu nhiều nhất?,Found mixed SQL (2) and RAG (1) signals,rule_router
RAG,0.35,0.65,True,RAG,0.07,unstr_021,FPT giới thiệu các lĩnh vực hoạt động chính nào trong báo cáo?,Found 1 RAG keyword(s),rule_router
RAG,0.35,0.65,True,RAG,0.08,unstr_022,Vinamilk là doanh nghiệp trong ngành nào theo báo cáo thường niên?,Found 1 RAG keyword(s),rule_router
RAG,0.32999999999999996,0.67,True,RAG,0.06,unstr_023,Masan trình bày chiến lược mở rộng bán lẻ ra sao?,Found 1 RAG keyword(s),rule_router
RAG,0.29000000000000004,0.71,True,RAG,0.07,unstr_024,FPT mô tả hoạt động đào tạo và phát triển nhân sự thế nào?,Found 1 RAG keyword(s),rule_router
RAG,0.55,0.45,True,RAG,0.06,unstr_025,Vinamilk nói gì về hoạt động R&D và đổi mới sản phẩm?,No keywords matched; defaulting to RAG (safe fallback),rule_router
